DATA-JOGO;JOGO_ID;CASA_ID;PONTOS_CASA;ARREM_PCT_CASA;LANC_LIV_PCT_CASA;ARREM_3PT_PCT_CASA;ASSISTS_CASA;REBOTES_CASA;VISITANTE_ID;PONTOS_VISIT;ARREM_PCT_VISIT;LANC_LIV_PCT_VISIT;ARREM_3PT_PCT_VISIT;ASSISTS_VISIT;REBOTES_VISIT;TIME_VENCEDOR
01/03/2020;21900895;1610612766;85;0.354;0.9;0.229;22;47;1610612749;93;0.402;0.762;0.226;20;61;VISITANTE
01/03/2020;21900896;1610612750;91;0.364;0.4;0.31;19;57;1610612742;111;0.468;0.632;0.275;28;56;VISITANTE
01/03/2020;21900897;1610612746;136;0.592;0.805;0.542;25;37;1610612755;130;0.505;0.65;0.488;27;37;CASA
01/03/2020;21900898;1610612743;133;0.566;0.7;0.5;38;41;1610612761;118;0.461;0.897;0.263;24;36;CASA
01/03/2020;21900899;1610612758;106;0.407;0.885;0.257;18;51;1610612765;100;0.413;0.667;0.429;23;42;CASA
01/03/2020;21900900;1610612740;114;0.421;0.818;0.219;24;52;1610612747;122;0.515;0.9;0.371;23;36;VISITANTE
01/03/2020;21900901;1610612744;110;0.472;0.708;0.321;25;52;1610612764;124;0.488;0.889;0.667;24;34;VISITANTE
29/02/2020;21900887;1610612752;125;0.553;0.697;0.4;29;50;1610612741;115;0.461;0.696;0.486;26;33;CASA
29/02/2020;21900888;1610612737;129;0.548;0.864;0.429;34;36;1610612757;117;0.5;0.714;0.286;14;42;CASA
29/02/2020;21900889;1610612748;116;0.451;0.833;0.368;27;45;1610612751;113;0.465;0.739;0.364;30;44;CASA
29/02/2020;21900890;1610612739;104;0.482;0.85;0.227;30;36;1610612754;113;0.54;0.786;0.348;30;38;VISITANTE
29/02/2020;21900891;1610612763;105;0.453;0.818;0.323;27;51;1610612747;88;0.409;0.583;0.25;26;45;CASA
29/02/2020;21900892;1610612738;110;0.39;0.76;0.31;22;54;1610612745;111;0.418;0.778;0.273;17;53;VISITANTE
29/02/2020;21900893;1610612759;114;0.524;0.75;0.452;28;31;1610612753;113;0.488;0.696;0.405;28;41;CASA
29/02/2020;21900894;1610612756;99;0.41;0.826;0.414;24;40;1610612744;115;0.471;0.75;0.3;30;49;VISITANTE
28/02/2020;21900877;1610612753;136;0.541;0.818;0.3;36;54;1610612750;125;0.484;0.667;0.386;27;33;CASA
28/02/2020;21900878;1610612737;141;0.515;0.733;0.487;32;52;1610612751;118;0.457;0.762;0.391;30;38;CASA
28/02/2020;21900879;1610612761;96;0.347;0.69;0.233;19;45;1610612766;99;0.436;0.72;0.433;23;58;VISITANTE
28/02/2020;21900880;1610612748;126;0.519;0.75;0.486;30;40;1610612742;118;0.476;0.895;0.42;25;35;CASA
28/02/2020;21900881;1610612763;101;0.429;0.75;0.267;27;52;1610612758;104;0.418;0.81;0.289;24;47;VISITANTE
28/02/2020;21900882;1610612749;133;0.5;0.857;0.467;34;66;1610612760;86;0.363;0.7;0.171;14;36;CASA
28/02/2020;21900883;1610612740;116;0.545;0.733;0.391;36;49;1610612739;104;0.453;0.583;0.355;27;34;CASA
28/02/2020;21900884;1610612756;111;0.6;0.706;0.391;31;38;1610612765;113;0.489;0.75;0.406;27;31;VISITANTE
28/02/2020;21900885;1610612762;129;0.494;0.733;0.514;23;54;1610612764;119;0.459;0.714;0.378;23;41;CASA
28/02/2020;21900886;1610612746;132;0.539;0.9;0.462;35;46;1610612743;103;0.451;0.75;0.36;19;39;CASA
27/02/2020;21900873;1610612755;115;0.495;0.769;0.484;32;44;1610612752;106;0.506;0.583;0.348;28;39;CASA
27/02/2020;21900874;1610612754;106;0.444;0.783;0.32;21;48;1610612757;100;0.461;0.643;0.3;14;45;CASA
27/02/2020;21900875;1610612760;112;0.488;0.724;0.346;20;37;1610612758;108;0.451;1.0;0.343;30;45;CASA
27/02/2020;21900876;1610612744;86;0.425;0.9;0.281;27;37;1610612747;116;0.511;0.667;0.333;24;44;VISITANTE
26/02/2020;21900864;1610612766;107;0.47;0.76;0.333;25;37;1610612752;101;0.506;0.647;0.267;22;42;CASA
26/02/2020;21900865;1610612739;108;0.526;0.882;0.458;24;48;1610612755;94;0.404;0.643;0.342;22;31;CASA
26/02/2020;21900866;1610612764;110;0.427;0.813;0.385;22;39;1610612751;106;0.414;0.686;0.278;15;56;CASA
26/02/2020;21900867;1610612737;120;0.447;0.92;0.361;30;42;1610612753;130;0.49;0.72;0.438;30;52;VISITANTE
26/02/2020;21900868;1610612748;126;0.526;0.767;0.423;30;43;1610612750;129;0.516;0.72;0.37;28;33;VISITANTE
